Provinsi,2021,2022,2023
ACEH,297058.38,271750.2,254287.38
SUMATERA UTARA,385405,411462.1,406109.49
SUMATERA BARAT,272391.95,271883.1,300564.77
RIAU,53062.35,51054.04,51914.14
JAMBI,64412.26,60539.59,61236.64
SUMATERA SELATAN,496241.65,513378.2,504143.03
BENGKULU,55704.69,57151.84,57877.18
LAMPUNG,489573.23,518256.1,530108.09
KEP. BANGKA BELITUNG,18278.27,15107.8,15284.56
KEP. RIAU,270.16,179.48,115.27
DKI JAKARTA,559.97,477.25,542.93
JAWA BARAT,1604109.31,1662404,1583656.28
JAWA TENGAH,1696712.36,1688670,1642761.23
DI YOGYAKARTA,107506.16,110927.2,105693.66
JAWA TIMUR,1747481.2,1693211,1698083.31
BANTEN,318248.46,337240.7,311199.73
BALI,105201.31,112320.6,108514.06
NUSA TENGGARA BARAT,276211.88,270092.9,287512.14
NUSA TENGGARA TIMUR,174900.07,183092,184698.89
KALIMANTAN BARAT,223165.74,241478.6,224068.52
KALIMANTAN TENGAH,125870.05,108226.8,101580.3
KALIMANTAN SELATAN,254263.59,214908.9,214283.82
KALIMANTAN TIMUR,66269.46,64970.01,57082.01
KALIMANTAN UTARA,8880.83,8604.19,6499.92
SULAWESI UTARA,59182.52,58195.56,54562.95
SULAWESI TENGAH,182186.62,168993.2,177699.03
SULAWESI SELATAN,985158.23,1038084,967790.21
SULAWESI TENGGARA,127517.29,118258.8,113930.26
GORONTALO,48713.5,46823.47,49610.47
SULAWESI BARAT,59763.18,69323.95,58606.67
MALUKU,28319.75,23987.82,22636.68
MALUKU UTARA,7781.96,6416.45,7709.07
PAPUA BARAT,6414.94,5460.59,5006.27
PAPUA BARAT DAYA,-,-,579.83
PAPUA,64984.9,49741.91,840.18
PAPUA SELATAN,-,-,44807.86
PAPUA TENGAH,-,-,2094.2
PAPUA PEGUNUNGAN,-,-,14.14
INDONESIA,10411801.22,10452672,10213705.17
